Country,Area,Continent,Parameter,Age,Sex,Variable,SIGICategories,Categories,Value,Average,Latitude,Longitude
Albania,Southern Europe,Europe,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,75.8,54.94,40.3275,-10.8189
Albania,Southern Europe,Europe,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,54.94,40.3275,-10.8189
Albania,Southern Europe,Europe,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,75.9,54.94,40.3275,-10.8189
Albania,Southern Europe,Europe,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,69.8,54.94,40.3275,-10.8189
Albania,Southern Europe,Europe,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,35.2,54.94,40.3275,-10.8189
Albania,Southern Europe,Europe,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,67.8,54.94,40.3275,-10.8189
Albania,Southern Europe,Europe,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,93.3,54.94,40.3,-10.8189
Albania,Southern Europe,Europe,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,54.94,40.3,-10.8189
Algeria,Northern Africa,Africa,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,47.5,43.25,25.8,-18.0588
Algeria,Northern Africa,Africa,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,43.25,25.8,-18.0588
Algeria,Northern Africa,Africa,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,63.1,43.25,25.8,-18.0588
Algeria,Northern Africa,Africa,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,43.25,25.7538,-18.0588
Algeria,Northern Africa,Africa,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,75.0,43.25,25.8,-18.0588
Algeria,Northern Africa,Africa,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,59.5,43.25,25.7538,-18.0588
Algeria,Northern Africa,Africa,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,43.25,25.7538,-18.0588
Algeria,Northern Africa,Africa,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,25.4,43.25,25.7538,-18.0588
Algeria,Northern Africa,Africa,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,40.1,43.25,25.7538,-18.0588
Algeria,Northern Africa,Africa,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,21,43.25,25.7538,-18.0588
Algeria,Northern Africa,Africa,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,37.3,43.25,25.7538,-18.0588
Algeria,Northern Africa,Africa,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,96.7,43.25,25.7538,-18.0588
Algeria,Northern Africa,Africa,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,43.25,25.7538,-18.0588
Algeria,Northern Africa,Africa,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,31.2,54.94,25.8,-18.0588
Angola,Middle Africa,Africa,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,22.3,43.25,-6.8,-9.2343
Angola,Middle Africa,Africa,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,39.8,54.6,-6.8368,-9.2343
Angola,Middle Africa,Africa,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,54.6,-6.8,-9.2343
Angola,Middle Africa,Africa,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,54.1,54.6,-6.8368,-9.2343
Angola,Middle Africa,Africa,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,54.6,-6.8,-9.2343
Angola,Middle Africa,Africa,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,75,54.6,-6.8368,-9.2343
Angola,Middle Africa,Africa,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,54.6,-6.8368,-9.2343
Angola,Middle Africa,Africa,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,54.6,-6.8368,-9.2343
Angola,Middle Africa,Africa,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,none,54.6,-6.8368,-9.2343
Angola,Middle Africa,Africa,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,54.6,-6.8368,-9.2343
Angola,Middle Africa,Africa,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,54.6,-6.8368,-9.2343
Angola,Middle Africa,Africa,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,54.6,-6.8368,-9.2343
Angola,Middle Africa,Africa,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,81.8,54.6,-6.8368,-9.2343
Angola,Middle Africa,Africa,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,54.6,-6.8,-9.2343
Antigua and Barbuda,Caribbean,America,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,none,6.86,25.1,-58.8468
Antigua and Barbuda,Caribbean,America,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,6.86,25.1,-58.8468
Antigua and Barbuda,Caribbean,America,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,none,6.86,25.1,-58.8468
Antigua and Barbuda,Caribbean,America,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,6.86,25.1274,-58.8468
Antigua and Barbuda,Caribbean,America,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,none,6.86,25.1,-58.8468
Antigua and Barbuda,Caribbean,America,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,6.86,25.1274,-58.8468
Antigua and Barbuda,Caribbean,America,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,6.86,25.1274,-58.8468
Antigua and Barbuda,Caribbean,America,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,none,6.86,25.1274,-58.8468
Antigua and Barbuda,Caribbean,America,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,6.86,25.1274,-58.8468
Antigua and Barbuda,Caribbean,America,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,6.86,25.1274,-58.8468
Antigua and Barbuda,Caribbean,America,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,6.86,25.1274,-58.8468
Antigua and Barbuda,Caribbean,America,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,96.1,6.86,25.1274,-58.8468
Antigua and Barbuda,Caribbean,America,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,6.86,25.1274,-58.8468
Antigua and Barbuda,Caribbean,America,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,none,54.6,25.1,-58.8468
Dominican Republic,Caribbean,America,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,47.5,35.2,-23.6037,-59.3816
Dominican Republic,Caribbean,America,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,33,35.2,-23.6037,-59.3816
Dominican Republic,Caribbean,America,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,30.4,35.2,-23.6037,-59.3816
Dominican Republic,Caribbean,America,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,45.5,35.2,-23.6037,-59.3816
Dominican Republic,Caribbean,America,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,8.5,35.2,-23.6037,-59.3816
Dominican Republic,Caribbean,America,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,97,35.2,-23.6037,-59.3816
Dominican Republic,Caribbean,America,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,44.2,35.2,-23.6037,-59.3816
Dominican Republic,Caribbean,America,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,35.2,-23.6037,-59.3816
Dominican Republic,Caribbean,America,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,59,35.2,-23.6037,-59.3816
Dominican Republic,Caribbean,America,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,84.9,35.2,-23.6037,-59.3816
Dominican Republic,Caribbean,America,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,35.2,-23.6037,-59.3816
Dominican Republic,Caribbean,America,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,35.2,-23.6037,-59.3816
Dominican Republic,Caribbean,America,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,72.5,35.2,-23.6037,-59.3816
Dominican Republic,Caribbean,America,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,35.2,-23.6,-59.3816
Grenada,Caribbean,America,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,none,7.6,38.2,18.4991
Grenada,Caribbean,America,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,none,7.6,38.1792,18.4991
Grenada,Caribbean,America,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,7.6,38.2,18.4991
Grenada,Caribbean,America,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,none,7.6,38.1792,18.4991
Grenada,Caribbean,America,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,7.6,38.2,18.4991
Grenada,Caribbean,America,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,none,7.6,38.1792,18.4991
Grenada,Caribbean,America,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,7.6,38.1792,18.4991
Grenada,Caribbean,America,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,7.6,38.1792,18.4991
Grenada,Caribbean,America,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,none,7.6,38.1792,18.4991
Grenada,Caribbean,America,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,7.6,38.1792,18.4991
Grenada,Caribbean,America,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,7.6,38.1792,18.4991
Grenada,Caribbean,America,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,7.6,38.1792,18.4991
Grenada,Caribbean,America,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,99.4,7.6,38.1792,18.4991
Grenada,Caribbean,America,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,7.6,38.2,18.4991
Haiti,Caribbean,America,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,27.1,45.1,-17.0152,74.3661
Haiti,Caribbean,America,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,45.5,45.1,-17.0152,74.3661
Haiti,Caribbean,America,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,27.4,45.1,-17.0152,74.3661
Haiti,Caribbean,America,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,48.5,45.1,-17.0152,74.3661
Haiti,Caribbean,America,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,25.8,45.1,-17.0152,74.3661
Haiti,Caribbean,America,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,77,45.1,-17.0152,74.3661
Haiti,Caribbean,America,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,38.8,45.1,-17.0152,74.3661
Haiti,Caribbean,America,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,45.1,-17.0152,74.3661
Haiti,Caribbean,America,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,62.7,45.1,-17.0152,74.3661
Haiti,Caribbean,America,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,61.1,45.1,-17.0152,74.3661
Haiti,Caribbean,America,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,66.8,45.1,-17.0152,74.3661
Haiti,Caribbean,America,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,36.9,45.1,-17.0152,74.3661
Haiti,Caribbean,America,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,93.1,45.1,-17.0152,74.3661
Haiti,Caribbean,America,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,45.1,-17.0,74.3661
Jamaica,Caribbean,America,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,71.6,29.2,47.2082,-5.3738
Jamaica,Caribbean,America,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,63.8,29.2,47.2082,-5.3738
Jamaica,Caribbean,America,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,29.2,47.2082,-5.3738
Jamaica,Caribbean,America,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,45.9,29.2,47.2082,-5.3738
Jamaica,Caribbean,America,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,29.2,47.2082,-5.3738
Jamaica,Caribbean,America,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,83,29.2,47.2082,-5.3738
Jamaica,Caribbean,America,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,29.2,47.2082,-5.3738
Jamaica,Caribbean,America,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,29.2,47.2082,-5.3738
Jamaica,Caribbean,America,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,none,29.2,47.2082,-5.3738
Jamaica,Caribbean,America,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,29.2,47.2082,-5.3738
Jamaica,Caribbean,America,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,29.2,47.2082,-5.3738
Jamaica,Caribbean,America,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,29.2,47.2082,-5.3738
Jamaica,Caribbean,America,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,96.6,29.2,47.2082,-5.3738
Jamaica,Caribbean,America,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,29.2,47.2082,-5.3738
Trinidad and Tobago,Caribbean,America,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,73.6,55.5,41.4093,21.8671
Trinidad and Tobago,Caribbean,America,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,45.7,55.5,41.4093,21.8671
Trinidad and Tobago,Caribbean,America,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,55.5,41.4093,21.8671
Trinidad and Tobago,Caribbean,America,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,29.9,55.5,41.4093,21.8671
Trinidad and Tobago,Caribbean,America,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,55.5,41.4093,21.8671
Trinidad and Tobago,Caribbean,America,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,92,55.5,41.4093,21.8671
Trinidad and Tobago,Caribbean,America,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,52,55.5,41.4093,21.8671
Trinidad and Tobago,Caribbean,America,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,55.5,41.4093,21.8671
Trinidad and Tobago,Caribbean,America,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,74.9,55.5,41.4093,21.8671
Trinidad and Tobago,Caribbean,America,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,72.5,55.5,41.4093,21.8671
Trinidad and Tobago,Caribbean,America,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,61.3,55.5,41.4093,21.8671
Trinidad and Tobago,Caribbean,America,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,79.2,55.5,41.4093,21.8671
Trinidad and Tobago,Caribbean,America,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,95.6,55.5,41.4093,21.8671
Trinidad and Tobago,Caribbean,America,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,55.5,41.4093,21.8671
Belize,Central America,America,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,52.3,21.92,35.0343,-77.3963
Belize,Central America,America,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,44.3,21.92,35.0343,-77.3963
Belize,Central America,America,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,21.92,35.0343,-77.3963
Belize,Central America,America,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,36.1,21.92,35.0343,-77.3963
Belize,Central America,America,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,21.92,35.0343,-77.3963
Belize,Central America,America,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,94,21.92,35.0343,-77.3963
Belize,Central America,America,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,21.92,35.0343,-77.3963
Belize,Central America,America,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,21.92,35.0343,-77.3963
Belize,Central America,America,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,none,21.92,35.0343,-77.3963
Belize,Central America,America,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,21.92,35.0343,-77.3963
Belize,Central America,America,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,21.92,35.0343,-77.3963
Belize,Central America,America,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,21.92,35.0343,-77.3963
Belize,Central America,America,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,79.2,21.92,35.0343,-77.3963
Belize,Central America,America,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,21.92,35.0343,-77.3963
Costa Rica,Central America,America,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,61.1,24.75,23.3759,19.9774
Costa Rica,Central America,America,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,43.2,24.75,23.3759,19.9774
Costa Rica,Central America,America,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,24.75,23.3759,19.9774
Costa Rica,Central America,America,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,54,24.75,23.3759,19.9774
Costa Rica,Central America,America,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,24.75,23.3759,19.9774
Costa Rica,Central America,America,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,97,24.75,23.3759,19.9774
Costa Rica,Central America,America,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,24.75,23.3759,19.9774
Costa Rica,Central America,America,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,24.75,23.3759,19.9774
Costa Rica,Central America,America,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,none,24.75,23.3759,19.9774
Costa Rica,Central America,America,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,24.75,23.3759,19.9774
Costa Rica,Central America,America,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,24.75,23.3759,19.9774
Costa Rica,Central America,America,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,24.75,23.3759,19.9774
Costa Rica,Central America,America,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,90.5,24.75,23.3759,19.9774
Costa Rica,Central America,America,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,24.75,23.3759,19.9774
El Salvador,Central America,America,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,23.2,38.7,23.8103,90.4125
El Salvador,Central America,America,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,57.3,38.7,23.8103,90.4125
El Salvador,Central America,America,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,38.7,23.8103,90.4125
El Salvador,Central America,America,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,53.1,38.7,23.8103,90.4125
El Salvador,Central America,America,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,38.7,23.8103,90.4125
El Salvador,Central America,America,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,90,38.7,23.8103,90.4125
El Salvador,Central America,America,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,39.4,38.7,23.8103,90.4125
El Salvador,Central America,America,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,38.7,23.8103,90.4125
El Salvador,Central America,America,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,63,38.7,23.8103,90.4125
El Salvador,Central America,America,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,72.8,38.7,23.8103,90.4125
El Salvador,Central America,America,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,38.7,23.8103,90.4125
El Salvador,Central America,America,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,38.7,23.8103,90.4125
El Salvador,Central America,America,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,83.7,38.7,23.8103,90.4125
El Salvador,Central America,America,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,38.7,23.8103,90.4125
